,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
205,198,Ronald Darby,PHI,24,RCB,9,9,1,16,0,16,12,,,,,,0.0,43,39,4,1,0,
206,199,D.J. Hayden,JAX,28,db,10,6,1,10,0,10,4,,,,,,1.0,46,39,7,2,2,
207,200,Josh Jackson,GNB,22,rcb,16,10,0,0,0,0,10,0,1,1,0,0,0.0,49,39,10,1,0,
208,201,Xavier Woods,DAL,23,FS,14,14,2,15,0,15,9,1,0,0,0,0,0.0,56,39,17,0,0,
209,202,Anthony Brown,DAL,25,db,15,10,1,1,0,1,8,1,0,0,0,0,2.0,44,38,6,2,3,
210,203,Jadeveon Clowney*,HOU,25,ROLB,15,14,0,0,0,0,1,1,0,3,0,1,9.0,47,38,9,16,21,
211,204,L.J. Fort,PIT,28,,15,2,,,,,,0,0,1,0,1,1.0,48,38,10,3,3,
212,205,Josey Jewell,DEN,24,RILB,16,9,0,0,0,0,3,,,,,,0.0,58,38,20,4,0,
213,206,Chandler Jones,ARI,28,RDE,16,16,0,0,0,0,4,3,0,1,0,0,13.0,49,38,11,13,18,
214,207,Captain Munnerlyn,CAR,30,db,16,5,1,2,0,2,9,0,0,1,0,0,2.0,47,38,9,3,2,
215,208,Hardy Nickerson ,CIN,24,mlb,16,7,0,0,0,0,1,1,0,0,0,0,0.0,57,38,19,1,0,
216,209,Orlando Scandrick,KAN,31,lcb,15,7,1,0,0,0,13,1,0,0,0,0,0.0,44,38,6,0,0,
217,Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
218,210,Khalil Mack*+,CHI,27,LOLB,14,13,1,27,1,27,4,6,0,2,0,0,12.5,47,37,10,10,18,
219,211,Barkevious Mingo,SEA,28,LLB,16,14,0,0,0,0,1,2,0,1,0,0,1.0,48,37,11,3,2,
220,212,Fabian Moreau,WAS,24,LCB,16,10,1,16,0,16,5,3,0,0,0,0,0.0,58,37,21,0,0,
221,213,Patrick Onwuasor,BAL,26,RILB,16,12,1,33,0,33,3,2,0,0,0,0,5.5,59,37,22,8,12,
222,214,Duke Riley,ATL,24,LLB,16,10,0,0,0,0,2,,,,,,0.0,60,37,23,2,1,
223,215,Jabaal Sheard,IND,29,LDE,16,16,0,0,0,0,4,0,0,1,0,0,5.5,50,37,13,14,13,
224,216,Mackensie Alexander,MIN,25,db,15,6,0,0,0,0,10,,,,,,4.0,43,36,7,7,5,
225,217,Jurrell Casey*,TEN,29,RDE,15,15,,,,,,2,0,1,1,0,7.0,62,36,26,11,11,
